ID	CONDITION
DF_AR_1239_T	0
DF_AR_1592_T	0
DF_AR_1636_T	0
DF_AR_1730_T	0
DF_AR_1798_T	0
DF_AR_1816_T	0
DF_AR_1853_T	0
DF_AR_2752_T	0
DF_AR_2815_T	0
DF_AR_4024_T	0
NKI_13_AR_Healthy	0
NKI_13_AR_Tumor	0
NKI_19_AR_Healthy	0
NKI_19_AR_Tumor	0
NKI_1_AR_Healthy	0
NKI_1_AR_Tumor	0
NKI_23_AR_Healthy	0
NKI_23_AR_Tumor	0
NKI_25_AR_Healthy_rep1	0
NKI_25_AR_Healthy_rep2	0
NKI_27_AR_Healthy	0
NKI_27_AR_Tumor	0
NKI_29_AR_Healthy	0
NKI_29_AR_Tumor	0
NKI_5_AR_Healthy	0
NKI_5_AR_Tumor	0
NKI_7_AR_Healthy	0
NKI_7_AR_Tumor	0
P223T_AR_1	0
P227T_AR_1	0
P228T_AR_1	0
P229T_AR_1	0
P230T_AR_1	0
P249T_AR_1	0
P252T_AR_1	0
P254T_AR_1	0
P255T_AR_1	0
P257T_AR_1	0
P261T_AR_1	0
P262T_AR_1	0
P263T_AR_1	0
P265T_AR_1	0
P266T_AR_1	0
P268T_AR_1	0
P272T_AR_1	0
P274T_AR_1	0
P276T_AR_1	0
P279T_AR_1	0
P280T_AR_1	0
P291T_AR_1	0
P294T_AR_1	0
P295T_AR_1	0
P297T_AR_1	0
P298T_AR_1	0
P300T_AR_1	0
P301T_AR_1	0
P305T_AR_1	0
P309T_AR_1	0
P310T_AR_1	0
P313T_AR_1	0
P324T_AR_1	0
P327T_AR_1	0
P328T_AR_1	0
P336T_AR_1	0
P342T_AR_1	0
P343T_AR_1	0
P348T_AR_1	0
P349T_AR_1	0
P352T_AR_1	0
P355T_AR_1	0
P416T_AR_1	0
P426T_AR_1	0
P427T_AR_1	0
P431T_AR_1	0
P433T_AR_1	0
P444T_AR_1	0
P449T_AR_1	0
P450T_AR_1	0
P452T_AR_1	0
P456T_AR_1	0
P462T_AR_1	0
P464T_AR_1	0
P466T_AR_1	0
P475T_AR_1	0
P500T_AR_1	0
P506T_AR_1	0
P507T_AR_1	0
P509T_AR_1	0
P511T_AR_1	0
P513T_AR_1	0
P527T_AR_1	0
P531T_AR_1	0
P533T_AR_1	0
P534T_AR_1	0
P536T_AR_1	0
P540T_AR_1	0
P544T_AR_1	0
P552T_AR_1	0
P555T_AR_1	0
P559T_AR_1	0
P560T_AR_1	0
P593T_AR_1	0
P603T_AR_1	0
P618T_AR_1	0
P643T_AR_1	0
P674T_AR_1	0
P680T_AR_1	0
P695T_AR_1	0
P710T_AR_1	0
P717T_AR_1	0
P730T_AR_1	0
P737T_AR_1	0
P747T_AR_1	0
P779T_AR_1	0
P811T_AR_1	0
P832T_AR_1	0
UW_AR_PDX_136	1
UW_AR_PDX_141	1
UW_AR_PDX_167	1
UW_AR_PDX_170_2	1
UW_AR_PDX_170_3	1
UW_AR_PDX_189_3	1
UW_AR_PDX_189_4	1
UW_AR_PDX_35	1
UW_AR_PDX_58	1
UW_AR_PDX_70	1
UW_AR_PDX_77	1
UW_AR_PDX_78	1
UW_AR_PDX_86_2	1
UW_AR_PDX_81	1
UW_AR_PDX_92	1
