ID	CONDITION
DF_H3K27ac_1962-2_N	0
DF_H3k27ac_1962-7_T	0
DF_H3K27ac_2007_N	0
DF_H3k27ac_2025-2_T	0
DF_H3K27ac_2025-5_N	0
DF_H3K27ac_2030_N_B	0
DF_H3K27ac_2030_T_B	0
DF_H3k27ac_2038-6_T	0
DF_H3K27ac_2038-7_N	0
DF_H3k27ac_2060-7_T	0
DF_H3K27ac_2060_N_A	0
DF_H3K27ac_2076_N_A	0
DF_H3K27ac_2076_T	0
DF_H3K27ac_2078_N	0
DF_H3K27ac_2078_T_A	0
DF_H3K27ac_2079_N_A	0
DF_H3k27ac_2087-6_T	0
DF_H3K27ac_2087_N_A	0
DF_H3K27ac_2088-1_N	0
DF_H3k27ac_2088-2_T	0
DF_H3K27ac_2101-1_N	0
DF_H3k27ac_2101-2_T	0
DF_H3K27ac_2113-2_N	0
DF_H3k27ac_2113-8_T	0
DF_H3K27ac_2114-2_N	0
DF_H3k27ac_2114-8_T	0
DF_H3k27ac_2137-1_T	0
DF_H3K27ac_2137-4_N	0
DF_H3K27ac_2173-5_N	0
DF_H3k27ac_2173-6_T	0
DF_H3K27ac_2185-4_N	0
DF_H3k27ac_2185-5_T	0
DF_H3K27ac_2192-3_N	0
DF_H3k27ac_2192-5_T	0
DF_H3K27ac_2208_T	0
DF_H3K27ac_2228_N	0
DF_H3K27ac_2228_T	0
DF_H3K27ac_2319_N_B	0
DF_H3K27ac_2319_T_B	0
DF_H3K27ac_2342_N	0
DF_H3K27ac_2477_N	0
DF_H3K27ac_2477_T	0
DF_H3K27ac_2478_N	0
DF_H3K27ac_2478_T	0
DF_H3K27ac_2479_N	0
DF_H3K27ac_2479_T	0
DF_H3K27ac_2480_N	0
DF_H3K27ac_2480_T	0
DF_H3K27ac_2482_N	0
DF_H3K27ac_2482_T	0
DF_H3K27ac_2483-1_N	0
DF_H3k27ac_2484-4_T	0
DF_H3K27ac_2484-8_N	0
NKI_13_H3K27AC_Healthy	0
NKI_13_H3K27AC_Tumor	0
NKI_19_H3K27AC_Healthy	0
NKI_19_H3K27AC_Tumor	0
NKI_1_H3K27AC_Healthy	0
NKI_1_H3K27AC_Tumor	0
NKI_23_H3K27AC_Healthy	0
NKI_23_H3K27AC_Tumor	0
NKI_25_H3K27AC_Healthy_rep1	0
NKI_25_H3K27AC_Healthy_rep2	0
NKI_27_H3K27AC_Healthy	0
NKI_27_H3K27AC_Tumor	0
NKI_29_H3K27AC_Healthy	0
NKI_29_H3K27AC_Tumor	0
NKI_5_H3K27AC_Healthy	0
NKI_5_H3K27AC_Tumor	0
NKI_7_H3K27AC_Healthy	0
NKI_7_H3K27AC_Tumor	0
P223T_H3K27ac_1	0
P227T_H3K27ac_1	0
P228T_H3K27ac_1	0
P229T_H3K27ac_1	0
P230T_H3K27ac_1	0
P245T_H3K27ac_1	0
P249T_H3K27ac_1	0
P252T_H3K27ac_1	0
P254T_H3K27ac_1	0
P255T_H3K27ac_1	0
P257T_H3K27ac_1	0
P261T_H3K27ac_1	0
P262T_H3K27ac_1	0
P263T_H3K27ac_1	0
P265T_H3K27ac_1	0
P266T_H3K27ac_1	0
P268T_H3K27ac_1	0
P272T_H3K27ac_1	0
P274T_H3K27ac_1	0
P276T_H3K27ac_1	0
P279T_H3K27ac_1	0
P280T_H3K27ac_1	0
P291T_H3K27ac_1	0
P294T_H3K27ac_1	0
P295T_H3K27ac_1	0
P297T_H3K27ac_1	0
P298T_H3K27ac_1	0
P300T_H3K27ac_1	0
P301T_H3K27ac_1	0
P305T_H3K27ac_1	0
P313T_H3K27ac_1	0
P324T_H3K27ac_1	0
P327T_H3K27ac_1	0
P328T_H3K27ac_1	0
P336T_H3K27ac_1	0
P342T_H3K27ac_1	0
P343T_H3K27ac_1	0
P348T_H3K27ac_1	0
P352T_H3K27ac_1	0
P355T_H3K27ac_1	0
P416T_H3K27ac_1	0
