CHR	STRAND	TSS	GENE
10	-	100028007	LOXL4
10	-	100155064	MIR1287
10	-	100174978	PYROXD2
10	-	100191117	MIR4685
10	-	100206704	HPS1
10	-	100995632	HPSE2
10	+	101088855	CNNM1
10	-	101190530	GOT1
10	+	101292689	NKX2-3
10	-	101380221	SLC25A28
10	+	101419262	ENTPD7
10	+	101491957	CUTC
10	-	101492423	COX15
10	+	101542354	ABCC2
10	+	101686965	DNMBP-AS1
10	-	101769676	DNMBP
10	-	101841642	CPN1
10	-	101945734	ERLIN1
10	-	101945814	ERLIN1
10	-	101989344	CHUK
10	-	101997059	SNORA12
10	-	102027437	CWF19L1
10	-	102046121	BLOC1S2
10	-	102046135	BLOC1S2
10	-	102046469	BLOC1S2
10	-	102090243	PKD2L1
10	+	102106771	SCD
10	+	102133332	LINC00263
10	+	102222811	WNT8B
10	-	102279595	SEC31B
10	-	102289680	NDUFB8
10	+	102295640	HIF1AN
10	+	102505467	PAX2
10	+	102672325	FAM178A
10	+	102732285	SEMA4G
10	+	102734741	MIR608
10	-	102747272	MRPL43
10	+	102747292	C10orf2
10	+	102756863	LZTS2
10	-	102790914	PDZD7
10	+	102790995	SFXN3
10	+	102820998	KAZALD1
10	-	102890903	TLX1NB
10	+	102891060	TLX1
10	-	102988717	LBX1
10	+	102989350	LBX1-AS1
10	+	103113789	BTRC
10	-	103348027	POLL
10	+	103348088	DPCD
10	+	103361173	MIR3158-1
10	-	103361254	MIR3158-2
10	+	1034348	GTPBP4
10	-	103454743	FBXW4
10	-	103535759	FGF8
10	-	103540126	FGF8
10	-	103543170	NPM3
10	-	103578222	MGEA5
10	+	103578824	KCNIP2-AS1
10	-	103599611	KCNIP2
10	-	103603677	KCNIP2
10	-	103815932	C10orf76
10	+	103825123	HPS6
10	-	103874723	LDB1
10	-	103880210	LDB1
10	+	103892750	PPRC1
10	+	103911932	NOLC1
10	+	103986034	ELOVL3
10	-	104001231	PITX3
10	+	104005254	GBF1
10	+	104153866	NFKB2
10	+	104154334	NFKB2
10	+	104155352	NFKB2
10	-	104169041	PSD
10	-	104178901	PSD
10	-	104179484	PSD
10	+	104179570	FBXL15
10	-	104179691	PSD
10	-	104192423	CUEDC2
10	+	104196268	MIR146B
10	+	104209573	RPARP-AS1
10	-	104211300	C10orf95
10	+	104221169	TMEM180
10	-	104262512	ACTR1A
10	+	104263718	SUFU
10	+	104404251	TRIM8
10	-	104474190	ARL3
10	+	104474297	SFXN2
10	+	104503726	WBP1L
10	+	104535887	WBP1L
10	-	104597290	CYP17A1
10	+	104613966	C10orf32
10	+	104613966	C10orf32-ASMT
10	+	104629209	AS3MT
10	+	104678074	CNNM2
10	-	104953063	NT5C2
10	+	105005643	RPEL1
10	+	105036919	INA
10	-	105110891	PCGF6
10	+	105127723	TAF5
10	-	105154158	MIR1307
10	-	105156270	USMG5
10	+	105156411	PDCD11
10	-	105212162	CALHM2
10	-	105218648	CALHM1
10	-	105238997	CALHM3
10	+	105253734	NEURL1
10	+	105506536	SH3PXD2A-AS1
10	-	105615164	SH3PXD2A
10	-	105678045	OBFC1
10	+	105727469	SLK
10	-	105807944	MIR936
10	-	105845638	COL17A1
10	+	105881815	SFR1
10	+	105881928	SFR1
10	-	105978641	MIR609
10	-	105992120	WDR96
10	+	106013951	GSTO1
10	+	106014467	GSTO1
10	-	106028163	MIR4482
10	+	106028630	GSTO2
10	+	106034886	GSTO2
10	-	106088750	ITPRIP
10	-	106093663	ITPRIP
10	-	106098251	ITPRIP
10	-	106113333	CCDC147-AS1
10	+	106113521	CCDC147
10	+	106400858	SORCS3
10	-	106425974	SORCS3-AS1
10	+	1068576	IDI2-AS1
10	-	1071799	IDI2
10	-	10836877	SFTA1P
10	-	108924466	SORCS1
10	-	1095061	IDI1
10	-	10994126	LINC00710
10	+	1102775	WDR37
10	+	11047258	CELF2
10	+	11059892	CELF2
10	+	110930414	RNU6-53P
10	-	11147451	CELF2-AS2
10	-	111683311	XPNPEP1
10	+	111765725	ADD3
10	+	111767710	ADD3
10	-	111768139	ADD3-AS1
10	+	111967362	MXI1
10	+	111969988	MXI1
10	+	111985761	MXI1
10	-	112064707	SMNDC1
10	+	11206992	CELF2
10	+	112257624	DUSP5
10	+	112327448	SMC3
10	+	112404154	RBM20
10	-	112630662	PDCD4-AS1
10	+	112631552	PDCD4
10	+	112657847	MIR4680
10	-	112678694	BBIP1
10	-	112679124	BBIP1
10	+	112679300	SHOC2
10	-	112697013	RPL13AP6
10	+	112723882	SHOC2
10	+	112836789	ADRA2A
10	-	113943537	GPAM
10	+	114043413	TECTB
10	+	114059369	MIR6715A
10	-	114059446	MIR6715B
10	-	114116353	GUCY2GP
10	+	114133915	ACSL5
10	+	114135022	ACSL5
10	+	114135955	ACSL5
10	-	114206672	ZDHHC6
10	+	114206755	VTI1A
10	+	114393928	MIR4295
10	+	114710008	TCF7L2
10	+	115310589	HABP2
10	+	115312777	HABP2
10	-	115423829	NRAP
10	+	115438920	CASP7
10	+	115439427	CASP7
